AV 32
-57.9740560 -34.9220661, 
-57.9750860 -34.9231569, 
-57.9761160 -34.9240365, 
-57.9772747 -34.9250569,
-57.9783046 -34.9260070,
-57.9792488 -34.9268514,
-57.9802787 -34.9278366,
-57.9812658 -34.9287514,
-57.9822797 -34.9296926,
-57.9833285 -34.9306184,
-57.9848491 -34.9320247,
-57.9858522 -34.9329482,
-57.9868724 -34.9338876,
-57.9878862 -34.9347847,
-57.9899301 -34.9366846,
-57.9909922 -34.9376300, 
-57.9920276 -34.9385799,
-57.9930200 -34.9394990,
-57.9940446 -34.9404049,
-57.9950906 -34.9413108,
-57.9961260 -34.9423178, 
-57.9971817 -34.9432907
AV 42
-57.9514629 -34.9034248, 
-57.9524285 -34.9043223, 
-57.9534799 -34.9052725,
-57.9544670 -34.9061524,
-57.9554111 -34.9070498,
-57.9565698 -34.9080529,
-57.9575569 -34.9089855,
-57.9586297 -34.9100061, 
-57.9596168 -34.9109035, 
-57.9606253 -34.9118361, 
-57.9616553 -34.9127335, 
-57.9626638 -34.9136661, 
-57.9636508 -34.9146162, 
-57.9647881 -34.9156016, 
-57.9657537 -34.9164813, 
-57.9667407 -34.9173963, 
-57.9678351 -34.9183464, 
-57.9688007 -34.9192613, 
-57.9698521 -34.9201586, 
-57.9709464 -34.9212142, 
-57.9719550 -34.9220939,
-57.9728991 -34.9230264,
-57.9739720 -34.9239940,
-57.9750234 -34.9248913, 
-57.9760319 -34.9258413, 
-57.9770833 -34.9268089, 
-57.9781777 -34.9277590, 
-57.9791433 -34.9287089,
-57.9801518 -34.9296062,
-57.9811174 -34.9305034, 
-57.9822171 -34.9314687, 
-57.9836957 -34.9328180, 
-57.9847042 -34.9338119,
-57.9857771 -34.9347091,
-57.9867749 -34.9356150, 
-57.9888455 -34.9375148,
-57.9898755 -34.9384559,
-57.9908947 -34.9394145, 
-57.9919032 -34.9403556, 
-57.9929118 -34.9412439,
-57.9939739 -34.9421234,
-57.9950253 -34.9431348,
-57.9960300 -34.9440900
AV 43
-57.9503276 -34.9042285,
-57.9513254 -34.9051436, 
-57.9523446 -34.9060938, 
-57.9533746 -34.9069737,
-57.9544045 -34.9079239,
-57.9553487 -34.9089093,
-57.9564216 -34.9097892,
-57.9574944 -34.9107745,
-57.9585137 -34.9117247,
-57.9594966 -34.9126330, 
-57.9605480 -34.9136008,
-57.9615351 -34.9145510,
-57.9625865 -34.9154483,
-57.9637452 -34.9164864,
-57.9647108 -34.9173838,
-57.9656979 -34.9182635,
-57.9666635 -34.9192312,
-57.9677364 -34.9201461,
-57.9688092 -34.9210962,
-57.9697748 -34.9220639,
-57.9708263 -34.9229963, 
-57.9718562 -34.9239288,
-57.9728862 -34.9248084, 
-57.9739162 -34.9257761, 
-57.9749032 -34.9266381, 
-57.9759546 -34.9276409, 
-57.9770061 -34.9285557, 
-57.9779931 -34.9295409, 
-57.9789587 -34.9303853, 
-57.9800531 -34.9313705, 
-57.9811259 -34.9323380, 
-57.9826002 -34.9337061,
-57.9836194 -34.9345857, 
-57.9846172 -34.9355004, 
-57.9856687 -34.9364767, 
-57.9866557 -34.9373650, 
-57.9877286 -34.9383413, 
-57.9887907 -34.9393088, 
-57.9897563 -34.9402498, 
-57.9908078 -34.9411645, 
-57.9918163 -34.9420791, 
-57.9928087 -34.9430158, 
-57.9938816 -34.9439348
ultimo
